Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active_Cases,CFR,Recovery_Rate,Vaccination_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_vaccinations,Tests_Performed,Test_Positivity_Rate
Catalonia,Spain,41.39,2.17,1/21/2022,4962281,93033,4836366,32882,1.87,97.46,2.93,2153238,1603142,5238803,12339139,40.22
Rio de Janeiro,Brazil,-22.91,-43.17,12/2/2021,2240735,70037,1682143,488555,3.13,75.07,28.29,27376494,25809538,55481432,73892584,3.03
Uttar Pradesh,India,26.85,80.91,10/31/2021,4557091,154382,3636404,766305,3.39,79.8,70.27,6453141,4015976,13606452,55220271,8.25
Moscow,Russia,55.75,37.62,7/28/2021,2705861,40529,2651534,13798,1.5,97.99,87.93,16546934,10013574,30536534,13075589,20.69
Quebec,Canada,46.81,-71.21,9/15/2022,1356768,42346,722954,591468,3.12,53.29,26.08,14322754,9956951,25133829,2091321,64.88
Uttar Pradesh,India,26.85,80.91,7/22/2022,1116655,16871,724842,374942,1.51,64.91,16.68,15934465,8557054,27203097,78704609,1.42
Lazio,Italy,41.89,12.5,10/22/2022,726761,4659,393342,328760,0.64,54.12,68.06,26223037,24976857,55665204,9801676,7.41
Jalisco,Mexico,20.67,-103.35,5/20/2022,1805004,44883,1318562,441559,2.49,73.05,22.21,8084908,6326688,17904249,12560655,14.37
Hubei,China,30.58,114.27,6/3/2022,621708,24089,438209,159410,3.87,70.48,3.21,2036011,1278091,7086596,52389642,1.19
Delhi,India,28.61,77.21,10/14/2021,273760,11330,258798,3632,4.14,94.53,33.49,28334468,14947057,48155866,74254211,0.37
Quebec,Canada,46.81,-71.21,6/27/2023,3595347,168978,3000912,425457,4.7,83.47,22.4,15079967,11746757,31531885,25189164,14.27
Veneto,Italy,45.44,12.33,8/12/2022,2753798,95785,1697260,960753,3.48,61.63,30.99,29937419,27134080,58372474,23711815,11.61
Florida,USA,27.99,-81.76,8/2/2021,3711839,88404,2631960,991475,2.38,70.91,5.03,3803929,2534581,11147926,31811800,11.67
Wales,UK,51.48,-3.18,10/23/2021,4718610,226668,4071564,420378,4.8,86.29,4.69,4090476,2999332,11537025,92362944,5.11
England,UK,51.51,-0.13,8/9/2022,2260188,78856,1672286,509046,3.49,73.99,26.12,18305997,16915329,36867987,22931859,9.86
Florida,USA,27.99,-81.76,3/13/2021,3210585,57976,1692017,1460592,1.81,52.7,32.38,22490930,19372247,45896856,68686643,4.67
Veneto,Italy,45.44,12.33,3/4/2023,4581962,1188,2767081,1813693,0.03,60.39,39.17,22108736,19894290,42986170,62541543,7.33
Quebec,Canada,46.81,-71.21,12/11/2022,3424934,95439,2393412,936083,2.79,69.88,31.32,10552615,5284904,20266066,45122813,7.59
Lombardy,Italy,45.47,9.19,9/12/2022,3881652,64313,3702479,114860,1.66,95.38,7.85,7711795,6203619,15705952,30122064,12.89
Wales,UK,51.48,-3.18,9/1/2021,4908150,232615,3300496,1375039,4.74,67.25,26.56,7709757,6750645,14884430,42259214,11.61
Tamil Nadu,India,13.08,80.27,2/19/2021,3341121,162723,2784010,394388,4.87,83.33,95.02,10840936,10517969,25247442,84401308,3.96
New York,USA,40.71,-74.01,1/16/2023,928240,18242,735054,174944,1.97,79.19,16.76,14506448,10983289,26514217,33224107,2.79
Guangdong,China,23.38,113.43,1/21/2022,4137315,161221,3098391,877703,3.9,74.89,4.85,2954577,2466404,10216881,94871550,4.36
Florida,USA,27.99,-81.76,12/26/2022,4148734,106398,3955396,86940,2.56,95.34,75.08,18074456,14642568,35555446,41496724,10
Beijing,China,39.9,116.4,5/9/2022,3838378,180392,2255693,1402293,4.7,58.77,20.29,16916822,10909085,28627663,86853493,4.42
Veneto,Italy,45.44,12.33,11/1/2021,3285178,159690,2919708,205780,4.86,88.88,5.84,1232956,754311,4166374,64627885,5.08
Lombardy,Italy,45.47,9.19,2/9/2021,3019463,20805,1868899,1129759,0.69,61.9,45.85,18874649,14565107,36324797,27711074,10.9
Ontario,Canada,43.65,-79.38,4/22/2021,4095071,3344,2792987,1298740,0.08,68.2,12.18,8901883,7932437,19256318,89737120,4.56
Wales,UK,51.48,-3.18,12/29/2022,991749,21003,535348,435398,2.12,53.98,100.36,14132752,10957824,27575747,59561408,1.67
Catalonia,Spain,41.39,2.17,11/29/2022,2600238,43816,2338814,217608,1.69,89.95,26.82,25138282,20032318,46811953,37433983,6.95
Delhi,India,28.61,77.21,2/25/2023,3048691,62586,2724272,261833,2.05,89.36,101.21,23644700,17536807,43290741,64563010,4.72
Lazio,Italy,41.89,12.5,10/6/2021,3864399,187848,2646774,1029777,4.86,68.49,52.01,20571032,17623665,42812167,31218583,12.38
Rio de Janeiro,Brazil,-22.91,-43.17,9/20/2022,3543697,65533,1862879,1615285,1.85,52.57,47.25,24607725,15435283,40066348,18643505,19.01
Scotland,UK,55.95,-3.19,7/22/2023,1448348,66825,1368053,13470,4.61,94.46,2.03,1558554,1472203,5203286,16471880,8.79
Shanghai,China,31.23,121.47,1/12/2023,539852,8656,287855,243341,1.6,53.32,1.5,1199256,924589,6693733,98756694,0.55
Guangdong,China,23.38,113.43,9/6/2023,1537099,4330,1308078,224691,0.28,85.1,14.8,13956405,8253924,23893910,89905775,1.71
Maharashtra,India,19.75,75.71,7/29/2021,4411594,195867,3230487,985240,4.44,73.23,4.28,3750911,3344360,7345821,46605857,9.47
Texas,USA,31.97,-99.9,1/2/2022,3634968,153961,3156808,324199,4.24,86.85,20.45,10610573,7658463,21163517,36978844,9.83
Madrid,Spain,40.42,-3.7,4/22/2023,2874084,75893,1634104,1164087,2.64,56.86,49.73,26054780,21414902,47736406,90060669,3.19
Nuevo León,Mexico,25.67,-100.31,4/2/2021,198918,7680,119856,71382,3.86,60.25,26.37,19725800,17882762,40555811,71812492,0.28
Quebec,Canada,46.81,-71.21,9/13/2021,2811560,21084,1576756,1213720,0.75,56.08,7.99,873925,655065,3409649,75609753,3.72
Ontario,Canada,43.65,-79.38,12/20/2021,1580479,65933,1275912,238634,4.17,80.73,42.49,29505830,28853959,60700403,14890512,10.61
England,UK,51.51,-0.13,7/26/2021,3067319,95162,2579412,392745,3.1,84.09,3.56,3162921,2280098,8901884,52093962,5.89
Catalonia,Spain,41.39,2.17,5/3/2023,556063,20910,516429,18724,3.76,92.87,41.6,22338262,19942247,43493194,77366163,0.72
Maharashtra,India,19.75,75.71,9/27/2021,2137829,91619,1161199,885011,4.29,54.32,29.12,25310854,21783714,49015138,83973477,2.55
São Paulo,Brazil,-23.55,-46.63,1/11/2022,294651,2528,205506,86617,0.86,69.75,258.42,29042376,17164708,49989654,85978472,0.34
Jalisco,Mexico,20.67,-103.35,9/27/2022,36811,1429,23532,11850,3.88,63.93,25.75,20919973,16300476,38072968,69390353,0.05
Northern Ireland,UK,54.6,-5.93,12/19/2022,462208,3900,414891,43417,0.84,89.76,18.57,15359038,12292259,29475422,81016445,0.57
Madrid,Spain,40.42,-3.7,10/8/2022,3545864,141386,2901216,503262,3.99,81.82,3.09,3007786,2051149,9432823,90976800,3.9
Maharashtra,India,19.75,75.71,3/29/2022,4306255,57395,2756097,1492763,1.33,64,13.3,9865466,8591225,21823642,25391364,16.96
California,USA,36.77,-119.42,8/6/2022,3744937,11984,3123303,609650,0.32,83.4,15.26,14896880,14746174,29732948,48388090,7.74
Wales,UK,51.48,-3.18,3/4/2023,4150839,6212,3116039,1028588,0.15,75.07,8.2,6989051,6198719,14394133,33181522,12.51
Uttar Pradesh,India,26.85,80.91,1/23/2023,2968294,63094,1677410,1227790,2.13,56.51,22.92,19797675,14170348,36389526,23433455,12.67
Madrid,Spain,40.42,-3.7,11/8/2022,1754366,52484,1634152,67730,2.99,93.15,45.21,11060708,10624652,24145334,16105307,10.89
Tamil Nadu,India,13.08,80.27,11/15/2021,3916900,85681,2783802,1047417,2.19,71.07,17.18,15784893,10408539,30106345,99061366,3.95
Delhi,India,28.61,77.21,8/15/2021,1937655,38968,1422599,476088,2.01,73.42,19.09,11685367,10141411,24814806,47488557,4.08
Lombardy,Italy,45.47,9.19,11/3/2022,2186030,5433,1425386,755211,0.25,65.2,85.62,26385950,18939784,45687604,37425110,5.84
Catalonia,Spain,41.39,2.17,2/4/2022,671723,4594,646923,20206,0.68,96.31,32.61,21777868,10895384,33380877,42616568,1.58
Quebec,Canada,46.81,-71.21,11/1/2021,1701490,44852,1479940,176698,2.64,86.98,261.59,20938148,16366799,40341860,37914181,4.49
Shanghai,China,31.23,121.47,6/15/2022,4501540,69324,2424438,2007778,1.54,53.86,41.19,24556752,21481423,50285176,44276675,10.17
Shanghai,China,31.23,121.47,4/10/2022,3674161,19980,1907297,1746884,0.54,51.91,12.67,11231459,6384885,20351404,22451,16365.24
New York,USA,40.71,-74.01,4/15/2023,2759765,44897,1949098,765770,1.63,70.63,26.41,20924865,10553945,32432481,71068156,3.88
Madrid,Spain,40.42,-3.7,6/18/2021,1956339,24038,1919217,13084,1.23,98.1,63.74,12917935,6806477,24508600,98316333,1.99
Texas,USA,31.97,-99.9,5/28/2021,488091,15550,444315,28226,3.19,91.03,483.98,26097513,25514003,53616346,16296755,3
Mexico City,Mexico,19.43,-99.13,5/27/2022,3024392,69114,2759931,195347,2.29,91.26,111.43,22218072,11121758,36904513,15377638,19.67
Quebec,Canada,46.81,-71.21,11/22/2021,4434089,66089,2802296,1565704,1.49,63.2,17.67,5238803,4872636,14562947,26940465,16.46
Kerala,India,10.85,76.27,7/27/2023,921972,25395,814756,81821,2.75,88.37,106.6,21472369,18262299,44509086,41087564,2.24
Ontario,Canada,43.65,-79.38,8/5/2021,4488083,121633,3124996,1241454,2.71,69.63,97,28583890,27418075,58771424,70882278,6.33
Jalisco,Mexico,20.67,-103.35,5/26/2023,1962786,88804,1721646,152336,4.52,87.71,16.94,8638779,5769157,15326258,88280000,2.22
Nuevo León,Mexico,25.67,-100.31,9/8/2022,509826,1622,476290,31914,0.32,93.42,19.17,17326425,17253366,34580369,25835806,1.97
Quebec,Canada,46.81,-71.21,9/19/2021,2150025,70549,1661624,417852,3.28,77.28,3.04,2762123,2669340,7221315,91430957,2.35
Veneto,Italy,45.44,12.33,5/11/2022,370816,18155,259959,92702,4.9,70.1,11.64,9912187,5273734,19286977,66772321,0.56
Rio de Janeiro,Brazil,-22.91,-43.17,3/10/2023,2631021,13118,2017236,600667,0.5,76.67,8.9,7385568,6601252,17666365,77969285,3.37
Northern Ireland,UK,54.6,-5.93,10/28/2021,225046,3845,123934,97267,1.71,55.07,63.57,25397202,14044710,42212555,30709187,0.73
Moscow,Russia,55.75,37.62,10/7/2021,3178062,79070,2137784,961208,2.49,67.27,3.21,2364289,1254687,8380279,57043915,5.57
Moscow,Russia,55.75,37.62,5/26/2022,4897870,230072,3961274,706524,4.7,80.88,6.01,4140810,3833070,8471700,62680386,7.81
Texas,USA,31.97,-99.9,5/6/2021,3442711,127322,2435615,879774,3.7,70.75,12.75,7739743,6420912,18055708,94323656,3.65
Tamil Nadu,India,13.08,80.27,10/14/2021,3714752,167590,2967414,579748,4.51,79.88,163.62,19644561,19593535,40219386,94424718,3.93
Nuevo León,Mexico,25.67,-100.31,9/13/2021,4078811,134478,2881149,1063184,3.3,70.64,16.17,10347290,8135837,20975306,1115403,365.68
Beijing,China,39.9,116.4,5/7/2021,2478945,30871,1517035,931039,1.25,61.2,42.65,18361018,16172563,35722077,48450,5116.5
Lazio,Italy,41.89,12.5,11/26/2022,4273264,28383,2508014,1736867,0.66,58.69,44.8,4606812,2956979,11670296,38548423,11.09
Northern Ireland,UK,54.6,-5.93,6/15/2022,787649,34489,591956,161204,4.38,75.15,31.14,18552965,13707356,35864008,43600468,1.81
Lombardy,Italy,45.47,9.19,9/15/2022,1756968,63489,1599703,93776,3.61,91.05,43.48,12205723,10633591,23345939,37003230,4.75
Madrid,Spain,40.42,-3.7,7/25/2022,2686553,25756,2276565,384232,0.96,84.74,113.32,28222951,15381197,44625830,22535352,11.92
Tamil Nadu,India,13.08,80.27,4/26/2023,4398475,106689,3342909,948877,2.43,76,29.32,17684800,11099134,30743232,90903657,4.84
Amazonas,Brazil,-3.07,-60.02,8/2/2021,3843499,41247,3073073,729179,1.07,79.96,93.43,22700809,12414366,37540284,38509089,9.98
California,USA,36.77,-119.42,12/2/2022,148729,5420,88347,54962,3.64,59.4,35.22,24565131,16904475,44386855,77074132,0.19
Florida,USA,27.99,-81.76,10/27/2021,411109,9100,280099,121910,2.21,68.13,41.83,25858745,15005236,44731660,9400963,4.37
New York,USA,40.71,-74.01,3/15/2021,400095,10557,274188,115350,2.64,68.53,13.54,5120387,4893126,11855196,78216246,0.51
Catalonia,Spain,41.39,2.17,5/20/2021,4282084,20767,3729630,531687,0.48,87.1,2.67,1941590,1337026,7769966,40914761,10.47
New York,USA,40.71,-74.01,7/12/2023,1666251,20173,1425213,220865,1.21,85.53,31.17,16706057,8944802,27921544,28737636,5.8
Nuevo León,Mexico,25.67,-100.31,8/27/2023,2220375,96535,1124622,999218,4.35,50.65,80.75,26138720,18506082,48771871,38733617,5.73
São Paulo,Brazil,-23.55,-46.63,1/20/2021,4603674,32117,3155705,1415852,0.7,68.55,20.41,16790246,9333735,27314775,43750760,10.52
Beijing,China,39.9,116.4,6/24/2021,4939664,199394,4322918,417352,4.04,87.51,22.54,15497136,13613524,33383644,53618385,9.21
New York,USA,40.71,-74.01,12/25/2021,1617097,57197,1196506,363394,3.54,73.99,10.64,10508127,9802970,21205369,65598960,2.47
Lazio,Italy,41.89,12.5,8/29/2021,2010042,16432,1168954,824656,0.82,58.16,11.19,6366320,4360653,12621505,79467330,2.53
Wales,UK,51.48,-3.18,6/4/2021,1108003,15459,764423,328121,1.4,68.99,16.16,11114959,10771994,22676589,81457267,1.36
New York,USA,40.71,-74.01,8/4/2022,3118226,64014,1763015,1291197,2.05,56.54,0.3,93877,87351,1259522,9040813,34.49
Wales,UK,51.48,-3.18,11/8/2021,4260679,91836,2994714,1174129,2.16,70.29,2.6,2069076,1974266,8319884,54651509,7.8
Maharashtra,India,19.75,75.71,7/22/2022,680622,12158,515041,153423,1.79,75.67,44.1,24786400,19272866,46046047,13727178,4.96
Ontario,Canada,43.65,-79.38,7/31/2022,2264334,106346,2146675,11313,4.7,94.8,13.26,12358749,7627779,22940393,69963338,3.24
New York,USA,40.71,-74.01,1/24/2023,3140837,68406,2202197,870234,2.18,70.11,21.08,9600609,9120856,20410428,41313881,7.6
Uttar Pradesh,India,26.85,80.91,7/15/2021,3292093,71463,2588620,632010,2.17,78.63,170.35,27478659,24998588,53307425,60987645,5.4
Veneto,Italy,45.44,12.33,3/28/2023,924973,31620,553098,340255,3.42,59.8,4.84,946091,584480,2344717,70729123,1.31
Shanghai,China,31.23,121.47,7/15/2023,266296,10859,143365,112072,4.08,53.84,10.13,9101976,8592897,21182378,35052262,0.76
Lombardy,Italy,45.47,9.19,8/9/2021,4130040,18407,3356747,754886,0.45,81.28,15.44,6845865,5030830,15666743,58704927,7.04
California,USA,36.77,-119.42,11/29/2021,4554415,110191,4162459,281765,2.42,91.39,21.34,11648085,6099987,20050158,93117677,4.89
Amazonas,Brazil,-3.07,-60.02,9/7/2021,4054219,167559,3353427,533233,4.13,82.71,34.89,9055455,7342462,20301399,91918764,4.41
Catalonia,Spain,41.39,2.17,2/18/2022,4303449,129450,3216715,957284,3.01,74.75,4.32,1153544,653224,6202770,66609380,6.46
Wales,UK,51.48,-3.18,4/17/2023,3920530,157162,3687753,75615,4.01,94.06,28.24,26529965,14232218,41087658,96087338,4.08
Kerala,India,10.85,76.27,8/2/2022,2333075,5283,1893688,434104,0.23,81.17,41.8,23053923,11766973,36419993,19559426,11.93
Scotland,UK,55.95,-3.19,4/1/2023,168663,5633,94847,68183,3.34,56.23,17.39,11135891,6545175,19130926,35828375,0.47
Tamil Nadu,India,13.08,80.27,1/20/2021,1646250,60006,1025066,561178,3.65,62.27,44.65,28440830,20397316,51549798,45532526,3.62
Ontario,Canada,43.65,-79.38,11/26/2021,3511472,162775,2315724,1032973,4.64,65.95,17.52,6339561,3399317,13275765,90846708,3.87
Quebec,Canada,46.81,-71.21,7/29/2023,3483251,102034,2257330,1123887,2.93,64.81,4.7,2351009,1525203,4088898,35634471,9.77
Mexico City,Mexico,19.43,-99.13,7/31/2021,2945789,115887,1917273,912629,3.93,65.09,42.81,27198906,19078828,50892441,25821851,11.41
Ontario,Canada,43.65,-79.38,6/14/2022,1932067,68601,1740923,122543,3.55,90.11,44.34,19616964,13862091,37724166,71086813,2.72
Rio de Janeiro,Brazil,-22.91,-43.17,10/21/2022,3425619,28178,1838661,1558780,0.82,53.67,16.8,16606174,12518659,32244969,98607338,3.47
Lombardy,Italy,45.47,9.19,1/14/2023,3488257,59976,2788126,640155,1.72,79.93,119.6,19286764,16593769,39697877,8973066,38.87
Tamil Nadu,India,13.08,80.27,5/15/2023,336190,14586,319951,1653,4.34,95.17,36.95,16027560,11988241,30512945,896863,37.49
Lazio,Italy,41.89,12.5,3/21/2021,3624510,83457,1851103,1689950,2.3,51.07,4.04,2295961,1571907,7306293,10598756,34.2
Veneto,Italy,45.44,12.33,10/12/2022,1867199,33818,1490011,343370,1.81,79.8,157.13,13141061,7894005,21351536,5074335,36.8
Rio de Janeiro,Brazil,-22.91,-43.17,1/19/2023,1907512,93319,975592,838601,4.89,51.14,28.41,13720547,7333238,23816425,94431256,2.02
Amazonas,Brazil,-3.07,-60.02,7/26/2022,1157060,34310,896814,225936,2.97,77.51,20.32,19537857,15417835,37742628,37805218,3.06
Scotland,UK,55.95,-3.19,11/28/2022,3737532,45189,2423833,1268510,1.21,64.85,58.13,27195700,26284243,56665238,49579533,7.54
Scotland,UK,55.95,-3.19,8/25/2022,278306,8178,185865,84263,2.94,66.78,11.9,5953901,3860197,14370751,99088923,0.28
England,UK,51.51,-0.13,5/29/2022,2482645,100098,2367968,14579,4.03,95.38,28.27,20310791,12307429,32660854,15391476,16.13
Nuevo León,Mexico,25.67,-100.31,11/2/2021,2790884,106115,1883955,800814,3.8,67.5,23.12,21381715,18274136,43988380,77186040,3.62
Uttar Pradesh,India,26.85,80.91,3/28/2022,3122985,44217,2273034,805734,1.42,72.78,12.19,7483477,7111791,16408274,26143190,11.95
Moscow,Russia,55.75,37.62,11/27/2021,2869898,58406,1800533,1010959,2.04,62.74,30.45,27055266,17195422,47575679,46675629,6.15
Catalonia,Spain,41.39,2.17,9/9/2023,676393,7462,513354,155577,1.1,75.9,53.12,25998584,21726233,51729409,34013398,1.99
Madrid,Spain,40.42,-3.7,2/17/2021,3647322,44985,1847319,1755018,1.23,50.65,17.21,5087417,3672125,9293598,94732493,3.85
Moscow,Russia,55.75,37.62,8/26/2022,311759,10916,262198,38645,3.5,84.1,131.52,27213481,19985359,48242658,79211356,0.39
Uttar Pradesh,India,26.85,80.91,12/23/2021,2586013,17032,1902688,666293,0.66,73.58,6.86,6832766,6042044,16776520,37891414,6.82
Hubei,China,30.58,114.27,7/16/2023,1692967,19074,1441089,232804,1.13,85.12,17.22,5076205,4682176,10251311,84030491,2.01
British Columbia,Canada,49.28,-123.12,5/26/2022,414888,14795,220902,179191,3.57,53.24,7.27,1923121,1300116,6393672,22404398,1.85
Nuevo León,Mexico,25.67,-100.31,2/11/2021,891062,44111,736946,110005,4.95,82.7,43.64,10879880,7482527,22599363,43671670,2.04
Delhi,India,28.61,77.21,8/10/2021,1078285,43278,599370,435637,4.01,55.59,30.32,24918060,14960343,40685420,97727384,1.1
São Paulo,Brazil,-23.55,-46.63,1/13/2022,3390253,100019,1782352,1507882,2.95,52.57,33.3,23658435,17568552,41957673,57431347,5.9
California,USA,36.77,-119.42,5/9/2022,695491,13598,630666,51227,1.96,90.68,103.89,24197446,17423292,42765613,31449769,2.21
Tamil Nadu,India,13.08,80.27,9/27/2022,3526065,49111,2924521,552433,1.39,82.94,41.65,12887817,8940183,23305503,4171783,84.52
Delhi,India,28.61,77.21,2/3/2023,3961950,179373,2382993,1399584,4.53,60.15,34.04,25060206,16028070,41195628,83297402,4.76
Guangdong,China,23.38,113.43,1/9/2023,521916,15355,404162,102399,2.94,77.44,18.19,12104759,9474405,24603287,28358981,1.84
England,UK,51.51,-0.13,1/4/2022,3819799,29869,2845665,944265,0.78,74.5,21.07,16989091,14024359,35273311,75983722,5.03
Amazonas,Brazil,-3.07,-60.02,1/2/2022,3148761,25239,1949546,1173976,0.8,61.91,98.49,27976020,17821973,49884971,62317708,5.05
Beijing,China,39.9,116.4,8/12/2022,1274739,47701,913392,313646,3.74,71.65,18.62,13520675,11592047,28030261,59781520,2.13
Jalisco,Mexico,20.67,-103.35,7/21/2023,2560680,58171,1859204,643305,2.27,72.61,17.71,11187725,9597043,24931863,82143325,3.12
Wales,UK,51.48,-3.18,5/4/2023,4323992,75998,3692102,555892,1.76,85.39,72.68,22604329,17841949,44912194,24784957,17.45
São Paulo,Brazil,-23.55,-46.63,1/17/2022,2863167,102547,2470480,290140,3.58,86.28,4.41,2577655,1503303,5152644,75567611,3.79
Beijing,China,39.9,116.4,11/10/2021,2135048,76668,1281524,776856,3.59,60.02,12.64,12243923,8754276,21054461,54745698,3.9
Northern Ireland,UK,54.6,-5.93,1/12/2023,1383206,19596,955044,408566,1.42,69.05,5.82,5015574,4401209,12463352,85877009,1.61
Hubei,China,30.58,114.27,2/1/2023,2508869,123489,1323194,1062186,4.92,52.74,61.85,4788062,4314886,11811290,55682555,4.51
California,USA,36.77,-119.42,12/4/2021,3864650,43650,3394709,426291,1.13,87.84,11.87,2723195,2000143,9276159,18603637,20.77
Maharashtra,India,19.75,75.71,12/8/2022,2124875,93373,1894230,137272,4.39,89.15,126.98,25110027,16113811,45795713,81348561,2.61
Amazonas,Brazil,-3.07,-60.02,7/13/2021,116994,2305,89005,25684,1.97,76.08,27.49,17670996,14077009,31814372,4806168,2.43
Delhi,India,28.61,77.21,2/25/2022,1820025,88927,1471650,259448,4.89,80.86,9.79,9542186,5617119,19142159,35807968,5.08
Guangdong,China,23.38,113.43,11/26/2022,4944530,137171,4786733,20626,2.77,96.81,20.15,9293712,8435376,22404358,29400058,16.82
Rio de Janeiro,Brazil,-22.91,-43.17,1/30/2023,803729,2467,587738,213524,0.31,73.13,5.23,3476634,3415211,9653484,15944180,5.04
Ontario,Canada,43.65,-79.38,2/11/2023,921468,19002,726798,175668,2.06,78.87,32.46,29715199,18711125,52107534,6931346,13.29
Amazonas,Brazil,-3.07,-60.02,3/19/2022,2781532,23021,2046512,711999,0.83,73.57,17.17,15894497,8265675,28572029,96311470,2.89
Guangdong,China,23.38,113.43,10/13/2022,2479760,111607,2004932,363221,4.5,80.85,30.08,27880010,19478635,47364145,49413131,5.02
Catalonia,Spain,41.39,2.17,8/8/2021,3069144,96176,2011054,961914,3.13,65.52,20.55,5773406,3255468,13693740,8166305,37.58
Uttar Pradesh,India,26.85,80.91,5/18/2021,1225316,19828,1163359,42129,1.62,94.94,121.91,23146964,21866719,49201889,91407091,1.34
Wales,UK,51.48,-3.18,4/20/2022,1208519,19827,1115663,73029,1.64,92.32,38.48,19101987,14222270,36605503,34444399,3.51
Texas,USA,31.97,-99.9,3/24/2022,2096354,99543,1514720,482091,4.75,72.25,47.51,26076795,17496135,47819433,16885119,12.42
British Columbia,Canada,49.28,-123.12,9/10/2021,2126178,32274,1975421,118483,1.52,92.91,37.77,10368180,10233524,24452784,61234211,3.47
Rio de Janeiro,Brazil,-22.91,-43.17,4/23/2022,2714955,116353,2322245,276357,4.29,85.54,39.05,13488630,12682337,27628804,24806406,10.94
Rio de Janeiro,Brazil,-22.91,-43.17,8/27/2021,4396097,128631,3324927,942539,2.93,75.63,28.26,14761926,7384000,26509821,58359556,7.53
California,USA,36.77,-119.42,11/26/2021,711776,13354,508386,190036,1.88,71.42,16.91,14005383,11781417,29502332,32624065,2.18
Amazonas,Brazil,-3.07,-60.02,11/11/2022,855067,3277,555358,296432,0.38,64.95,34.35,9209607,5214504,15231419,36170948,2.36
British Columbia,Canada,49.28,-123.12,8/4/2022,3942955,117862,3603276,221817,2.99,91.39,40.06,24224863,23461901,50591373,40204362,9.81
Catalonia,Spain,41.39,2.17,9/4/2022,2343771,94273,1438044,811454,4.02,61.36,15.13,5782236,3209725,12925921,66484947,3.53
Scotland,UK,55.95,-3.19,2/24/2023,3702044,65585,3591639,44820,1.77,97.02,7.77,5666659,3452569,11700630,2907355,127.33
Lazio,Italy,41.89,12.5,12/30/2021,1424453,27432,1278981,118040,1.93,89.79,20.62,13437417,7359279,21269362,97806276,1.46
Delhi,India,28.61,77.21,8/7/2023,1265034,18225,1060908,185901,1.44,83.86,60.28,10735276,7461445,21240026,84320626,1.5
Madrid,Spain,40.42,-3.7,7/18/2023,2383714,45907,2199665,138142,1.93,92.28,31.11,25159182,16121085,42589122,77066555,3.09
Lombardy,Italy,45.47,9.19,11/15/2022,908874,42194,635982,230698,4.64,69.97,19.15,13943836,11634139,28401654,31442306,2.89
Veneto,Italy,45.44,12.33,5/10/2022,1198667,2882,1021589,174196,0.24,85.23,45.11,25549258,13231174,40307698,51232440,2.34
Uttar Pradesh,India,26.85,80.91,9/24/2023,1534376,58376,1192729,283271,3.8,77.73,13.67,9051868,7122956,17909714,44679690,3.43
Hubei,China,30.58,114.27,2/2/2022,4506275,48895,3648246,809134,1.09,80.96,27.3,26247036,19657858,48346589,20519680,21.96
California,USA,36.77,-119.42,7/6/2022,1887822,93718,1337231,456873,4.96,70.83,17.05,9715706,7169952,19192140,49626261,3.8
Scotland,UK,55.95,-3.19,11/14/2022,1399058,32620,736301,630137,2.33,52.63,23.87,12677752,9969062,23002190,99963959,1.4
São Paulo,Brazil,-23.55,-46.63,9/21/2022,4239803,125707,2400842,1713254,2.96,56.63,2.04,1289334,962600,3828401,74695548,5.68
Northern Ireland,UK,54.6,-5.93,8/19/2023,3367665,13723,2437875,916067,0.41,72.39,17.45,11461857,6679766,20937402,22732233,14.81
Saint Petersburg,Russia,59.93,30.33,7/31/2021,1011082,19044,833801,158237,1.88,82.47,15.24,8803949,6433089,18852430,72429853,1.4
Kerala,India,10.85,76.27,2/23/2021,2519837,5143,2064537,450157,0.2,81.93,50.24,29289418,16131656,49989804,46352074,5.44
Saint Petersburg,Russia,59.93,30.33,2/25/2023,892394,17698,780341,94355,1.98,87.44,35.8,8275949,8034164,19465460,2461185,36.26
Madrid,Spain,40.42,-3.7,9/24/2022,144907,3457,109473,31977,2.39,75.55,93.52,13057156,6674944,21502124,12413226,1.17
Uttar Pradesh,India,26.85,80.91,4/24/2023,2074628,82107,1842907,149614,3.96,88.83,11.37,11341764,8675121,22374950,64744002,3.2
Kerala,India,10.85,76.27,5/17/2023,151322,1857,84829,64636,1.23,56.06,342.96,25829853,16388329,42472136,77577623,0.2
Uttar Pradesh,India,26.85,80.91,5/17/2023,3768770,95387,2523537,1149846,2.53,66.96,9.33,6507212,6248557,16269553,56738968,6.64
Northern Ireland,UK,54.6,-5.93,12/9/2022,1530678,48571,998465,483642,3.17,65.23,19.61,17359145,12779716,34496699,10650970,14.37
Nuevo León,Mexico,25.67,-100.31,2/21/2022,4275487,23317,3430245,821925,0.55,80.23,146.71,25671031,17228753,46423923,6594472,64.83
England,UK,51.51,-0.13,8/6/2023,1091938,34424,757005,300509,3.15,69.33,35.42,16221660,8792409,26013650,33790683,3.23
Hubei,China,30.58,114.27,1/14/2023,1387732,13964,903724,470044,1.01,65.12,77.57,17145013,16029295,34327828,89367456,1.55
Veneto,Italy,45.44,12.33,1/19/2022,253180,9882,143665,99633,3.9,56.74,42.7,29042005,18507485,50727961,51446064,0.49
England,UK,51.51,-0.13,7/13/2023,919254,37651,683835,197768,4.1,74.39,128.01,28587768,15347848,45689715,56878443,1.62
